whisky_name_raw,review_text,score,review_date,source_url,dedupe_hash
"A Fine Christmas Malt 17 yo (58.7%, The Whisky Exchange, 1800 bottles, 2018) My, is it Christmas already?","A Fine Christmas Malt 17 yo (58.7%, The Whisky Exchange, 1800 bottles, 2018) My, is it Christmas already? Colour: gold. Nose: starts a tad brutal and hot for Christmas, grassy, kirschy, with notes of lees (possibly from sherry wood), then gingerbread and beef bouillon with parsley, and sour apples. Gets then meatier by the minute, with even more soups, stocks, broths and consommés. With water: even meatier. Beef marrow and porcinis with chives and parsley. Mouth (neat): a rather fatter spirit indeed, composed with sour cherries, plum eau-de-vie, liqueur-filled chocolate (how Christmassy indeed), and notes of blackcurrants. The whole’s perhaps a little rustic, pleasantly so. With water: cranberry sauce, duck, sour cherries, lime juice, green walnuts. This is one for your (sterling silver) hipflask. Finish: rather long, mostly on blackcurrants and sour cherries, with these meaty notes remaining in the aftertaste. Comments: a very nourishing malt whisky, I would say. I’m very fond of this classic ‘hardiness’. SGP:461 - 86 points.",86,2018-11-14,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,d9e00109af7018d268cb16f83eb98532117ebd318b3eb6d1c4de7c1f7e70377e
"Unicorn 30 yo 1988/2018 (43%, CWS China, Myths and Legends, First Fill Oloroso Sherry Butt, cask #22, 630 bottles) Unicorn? A word that's currently invading the whisky world, have you noticed?","Unicorn 30 yo 1988/2018 (43%, CWS China, Myths and Legends, First Fill Oloroso Sherry Butt, cask #22, 630 bottles) Unicorn? A word that's currently invading the whisky world, have you noticed? Colour: amber. Nose: classic old-style sherry, rather on walnut cake and beef stock at first, getting then a little earthier and almost smoky, ala old Macallan. Perfect earth and mushrooms, Cuban cigars, and artisan liquorice. A bit austere, but wonderfully so, this is almost perfect. With water: Caesar's mushrooms stewed with fresh garlic in a wonderful sherry sauce. Are you hungry yet? Mouth (neat): exceptional arrival, on a mixture of menthol and raisins, which works just perfect. Then dry black chocolate, more tobacco, and certainly some kind of tarry marmalade. Perfect indeed. With water: a perfect swimmer, this one could cross the Atlantic. Rather herbal than fruity, and certainly loaded with walnuts and, perhaps, pistachios. Wonderful tarry oranges and tangerines, dried ones. Finish: long and appropriately orange-y. Marmalade, old triple-sec etc. Comments: fabtastic old style Speysider, totally in the style of some famous older 15 yos , just a wee tad more, say heavy? Brilliant nonetheless. SGP:462 - 92 points.",92,2018-11-14,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,1d9090fe5dc3c7deece97da137985a04b1b940d37b295bca48c09ac9a0b2dacf
"Speyside 42 yo 1976/2018 (45.2%, Sansibar and Acla, Moments in Scotland) Each label is different here, which is a wonderful idea.","Speyside 42 yo 1976/2018 (45.2%, Sansibar and Acla, Moments in Scotland) Each label is different here, which is a wonderful idea. Colour: dark gold. Nose: this will be very quick, this is simply one of those brilliant old Speysiders that are shock-full of honeys and ripe plums on the nose. Unquestionable and consensual. Mouth: very excellent, even if it’s probably not the most sumptuous of them all. Orange blossom and honeysuckle teas, honeys, milk chocolate, soft sultanas, and ideas of Cognac. Preserved peaches. Finish: medium, superb, a little more on oranges, with wee mentholy touches on the background. Superb finish, gains one more point at this point! Comments: these old babies are eminently drinkable. Very high pleasure/cl ratio here, don’t miss these before the supply is definitely depleted. SGP:551 - 90 points.",90,2018-11-14,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,1248fb929e47a00022586493962aead60120b3601538f5716a7ebc63c8121389
"Speyside Malt 1977/2018 (46.3%, Maltbarn, sherry cask) Probably yet another enchanting selection by Maltbarn, people who do not only have some of the nicest labels on their bottles.","Speyside Malt 1977/2018 (46.3%, Maltbarn, sherry cask) Probably yet another enchanting selection by Maltbarn, people who do not only have some of the nicest labels on their bottles. Colour: amber. Nose: of course. Earthy chestnuts and honeys plus ripe mirabelles and quince jelly at first, then massive amounts of beeswax and chamomile tea. A feast under your amazed nostrils. Mouth: wonderful, of course, just a notch grittier, more tannic, more mentholated and simply drier, but anything in the background is just superb, quinces, figs, honeydew, cakes, beeswax, rosehip tea, dates... It's also relatively light (yet not thin at all, mind you), which would make it even more dangerous. Finish: medium, perfectly balanced, just rather very mentholy. Tea in the Sahara, in other words, with roasted pine nuts on top of that. Comments: what a series of casks and vintages! SGP:561 - 90 points.",90,2018-11-14,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,d6044d40d448a781e553159d42986fb3d73d7e25e53aa771317bff2ab576af50
"Speyside Region 42 yo 1975/2017 (49.8%, Sansibar, Fazzino)","Speyside Region 42 yo 1975/2017 (49.8%, Sansibar, Fazzino) Colour: gold. Nose: this is a rather unusual, rather zesty and ‘nervous’ profile at first nosing, with freshly squeezed oranges and some lemon balm, although some complex notes of beehive are already showing up, little by little. Those are signs of good great age! So we’ve got both the vibrancy of youth and the complexity of maturity here. Love these notes of pollen, heather honey, and this rather perfect and slightly vinous sourness. Riesling, perhaps. After two minutes, more and more marzipan and chocolate, perhaps that’s Mozart kugeln. Mouth: really punchy, less soft and smooth than other older Speysiders, with rather grapefruits this time, a touch of lime-flavoured yoghurt, and then various spicy herbs and roots (thyme, ginger, turmeric) before more classic honeyed notes make a comeback. They would come together with dried figs. Finish: long, with some spicy marzipan, a wee touch of green oak that do keep it zesty and lively. Bitter oranges and turmeric in the aftertaste. Comments: a fighting old Speysider that’s packed with action. SGP:461 – 90 points.",,2018-11-14,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,8d1a3b3fab61087a58c5a08cf3b093ce9f991720558c7af67f5439a2f3a78224
"Speyside Region 43 yo 1973/2017 (51.3%, Sansibar, Fazzino)","Speyside Region 43 yo 1973/2017 (51.3%, Sansibar, Fazzino) Colour: gold. Nose: starts with subtle whiffs of upholstery, furniture polish, old cigars, cedar wood, and the usual suspects, figs and dates. Then we’d rather find praline, pistachio marzipan, and lovely earthy tones, touches of humus, little mushrooms… With water: opens up like bindweed in the morning and becomes wonderfully honeyed. Some poached pear topped with acacia honey and perhaps a small glass of Sauternes. A little menthol as well, camphor, subtle ointments… Mouth (neat): this is a softer one after the 1975, but it’s also very citrusy and tropical. Amazing notes of blood oranges, pink grapefruits, and small guavas. Guavas can be restless and mischievous fruits. Goes on with lemon and orange honeys, and a drop of chartreuse plus a little mint liqueur, possibly from the wood. Impeccable. With water: we’re going towards teas, green pu-ehr, green earl grey, bergamots, with a touch of cinnamon and a hint of nutmeg from the cask. Mind you, forty-four years old. Finish: long, with some mead and a little ginger. Caramelised oranges and peppermint in the aftertaste. Comments: this oldie still roars and shows no signs that it has tired of aging for more than four decades. SGP:461 - 91 points.",91,2018-11-14,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,39ecd988e0ec78ea610f78f0767a30d242a31afc5475635e1f3555941c29a64c
"Bowmore 17 yo 2001/2018 (53.8%, Cadenhead, Authentic Collection, hogshead, 270 bottles)","Bowmore 17 yo 2001/2018 (53.8%, Cadenhead, Authentic Collection, hogshead, 270 bottles) Colour: straw. Nose: porridge and oxtail soup, really. Feels like refill sherry but I doubt it is, what’s sure is that many meaty, soupy and bouillony notes are dancing under your nostrils. Other than that, we find kelp smoke, seawater and oysters, which was expected. A little curry as well, less expected. With water: hessian, brake fluid, engine oil. Veedol’s our favourite at WF Towers. Mouth (neat): too good. It’s almost as if the 1960s were back, with these tangerines and mangos mixed with smoked tea and kippers. Wonderful palate, rather fatter than usual. With water: exceptional smoked mangos and maracujas and papayas and pink grapefruits, with some smoked salmon to boot. Only flaw, it would only take a few drops of water, or it would start to taste like some used tissue. Quite. Finish: long, perfect, sharp and vertical. Rather fruitier than usual, in fact. Comments: we may have screwed it up, we should have started this with a lighter Bowie. SGP:456 - 90 points.",90,2018-11-13,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,da380f1177c153df2273d4d5e85449c6bec4f4a9af6929d8088ca6d889e731f3
"Bowmore 22 yo 1996/2018 (50.4%, Single Malts of Scotland, hogshead, cask #1371, 210 bottles)","Bowmore 22 yo 1996/2018 (50.4%, Single Malts of Scotland, hogshead, cask #1371, 210 bottles) Colour: gold. Nose: this one’s more vegetal, more on sour beers, porridge, dairy cream, that old tweed jacket, that rainwater, crabs, scallops, fern, autumn leaves… With water: a touch of Jerez vinegar, some ripe peaches, roasted peanuts, green tea… Mouth (neat): ah, perfect. Mango juice, grapefruit, anchovy brine, kippers, grapeseed oil, seawater… With water: salty grasses, sauvignon blanc, ultra-dry champagne, grapefruit juice, brine, gentian eau-de-vie… Finish: rather long, sour, but with an extremely pleasant tropical fruitiness… Would love to try this when it’s become, say, 30 years. A future new Sea Dragon? I’m even finding infinitesimal touches or rosewater in the aftertaste. Comments: this make is as fantastic as it used to be, assertive yet complex and delicate. SGP:455 - 91 points.",91,2018-11-13,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,5a98e2c0d041c6b076f5ad752eabcd8e4b8d644ca6082b9fa06dd37af03ad79a
"Bowmore 15 yo 2001/2018 (55.3%, La Maison du Whisky, Artist #8, sherry butt finish, cask #108, 679 bottles) Again, they are rounding off the age statements with this series (so no typo here, but thanks anyway!)","Bowmore 15 yo 2001/2018 (55.3%, La Maison du Whisky, Artist #8, sherry butt finish, cask #108, 679 bottles) Again, they are rounding off the age statements with this series (so no typo here, but thanks anyway!) Colour: pale gold. Nose: it’s a relatively discreet sherry, rather of the fino kind (walnuts), which goes well with the very smoky and ashy distillate. Now that treatment may have offset a bit the coastal side, and since we’ve just tried a bunch of Ballechins, well, this Bowmore does remind me of Ballechin. Some mint tea. With water: Provence herbs and metal polish. Grandma’s old copper kettle. Mouth (neat): unusual. Sweet mustard, gin, mango chutney, smoked fish, candied tangerines, and quite a lot of caraway. Did someone pour a bottle of aquavit into the cask? I mean, on purpose? With water: rounder, sweeter, almost a tad syrupy. Caraway liqueur, lapsang souchong, Finish: rather long, with these sweet spices… Comments: I prefer the purer ones but this one sure was well crafted. SGP:655 - 85 points.",85,2018-11-13,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,a2386866debe20f1812de39d79b15820c4c0b2e8b701fc54825367719d29b3ce
"Bowmore 15 yo 2001/2017 (58.7%, Douglas Laing, Xtra Old Particular, for SCSM China, refill hogshead, cask #11547, 299 bottles) More purity again, I suppose…","Bowmore 15 yo 2001/2017 (58.7%, Douglas Laing, Xtra Old Particular, for SCSM China, refill hogshead, cask #11547, 299 bottles) More purity again, I suppose… Colour: white wine. Nose: as pure and fresh as Bowmore can be, this time with a lot of seawater, oysters, peat and seaweed smoke, fresh almonds, and lemon juice. Another millimetric Bowmore (I know, our beloved metric system…) With water: branches, burning fresh wood (acrid smoke), linoleum, leatherette… Mouth (neat): lemons, grapefruits, clams, angelica, roots, peat, kippers… And touches of papayas, just like in the Cadenhead. With water: perfect pure middle-aged Bowmore. Lemons, cider apples, brine, kippers, smoke… And all the rest. Finish: long, tense, crisp, and pretty mineral. Comments: a little less fruity than the Cadenhead after all, but quality’s equivalent. SGP:456 - 90 points.",90,2018-11-13,https://www.whiskyfun.com/archivenovember18-1-Bowmore-Glenrothes.html,54780a7021973551ca1dd6e038522d4d9d89b4fc8345c85e8b5d1cdf08973c95
